date,description,category,transaction_type,base_amount,random_variance,amount,account_id
5/2/2025,WHOLE FOODS MKT,Bills,debit,10,0.95,-9.5,1
8/2/2025,IRANI CHIYA LOKANTHALI,,debit,40,1.17,-46.8,2
10/19/2025,DD-SALARY,Other,debit,100,0.99,-99.0,3
11/4/2025,PAYCHECK DEPOSIT,Entertainment,CREDIT,20,0.85,17.0,4
10/22/2025,ATM WITHDRAWAL,Other,Credit,20,0.82,16.4,5
7/17/2025,CHOWMEIN 1234,Other,Credit,10,0.98,9.8,6
7/6/2025,SHELL-FUEL,Transportation,Debit,20,0.89,-17.8,7
7/28/2025,PAYCHECK DEPOSIT,Food & Dining,Credit,10,0.84,8.4,8
9/20/2025,ESEWA BALANCE TRANSFER,Food & Dining,debit,100,1.05,-105.0,9
12/13/2025,ATM CASH,Transportation,Debit,50,1.13,-56.5,10
5/11/2025,ATM CASH,Shopping,Credit,100,1.07,107.0,11
12/4/2025,LANDLORD_RENT_PAYMNT,Groceries,Debit,20,0.91,-18.2,12
12/31/2025,INDRIVE TRIP,Uncategorized,Credit,100,1.13,113.0,13
10/11/2025,ATM WITHDRAWAL,Income,Debit,20,1.14,-22.8,14
10/8/2025,INDRIVE TRIP,,CREDIT,100,0.84,84.0,15
1/4/2026,WHOLE FOODS MKT,,DEBIT,100,0.95,-95.0,16
1/23/2026,PAYCHECK DEPOSIT,Food & Dining,Credit,10,0.91,9.1,17
8/7/2025,INDRIVE TRIP,Uncategorized,debit,50,0.95,-47.5,18
4/6/2025,ATM CASH,Other,Debit,500,0.81,-405.0,19
2/10/2025,IRANI CHIYA LOKANTHALI,Income,Credit,50,1.18,59.0,20
3/9/2025,PAYCHECK DEPOSIT,Entertainment,Credit,500,0.81,405.0,21
7/19/2025,IRANI CHIYA LOKANTHALI,Shopping,Debit,10,0.98,-9.8,22
5/19/2025,SHELL OIL 9876,Transportation,debit,20,1.03,-20.6,23
10/17/2025,ATM WITHDRAWAL,Shopping,debit,100,0.91,-91.0,24
7/28/2025,CHOWMEIN 1234,Income,Debit,10,1.08,-10.8,25
11/26/2025,ATM CASH,Entertainment,debit,100,0.97,-97.0,26
4/4/2025,LANDLORD_RENT_PAYMNT,Shopping,Debit,50,0.95,-47.5,27
10/29/2025,SAFA CHULO #1234,Entertainment,Credit,50,1.11,55.5,28
12/9/2025,ATM WITHDRAWAL,Transportation,DEBIT,50,1.06,-53.0,29
9/23/2025,ESEWA CASHOUT,Entertainment,Debit,20,1.12,-22.4,30
11/3/2025,INDRIVE TRIP,Transportation,DEBIT,50,1.16,-58.0,31
12/23/2025,SHELL-FUEL,Transportation,CREDIT,500,0.87,435.0,32
1/8/2026,AMZN MKTPLC WA,Transportation,CREDIT,40,0.88,35.2,33
10/19/2025,REFUND DARAZ,Groceries,,100,0.9,90.0,34
3/9/2025,Netflix Subscription,Other,Debit,50,0.87,-43.5,35
7/11/2025,REFUND DARAZ,Shopping,Debit,20,1.14,-22.8,36
4/22/2025,ESEWA CASHOUT,Income,Debit,20,0.93,-18.6,37
3/6/2025,ESEWA BALANCE TRANSFER,Bills,CREDIT,50,0.97,48.5,38
6/14/2025,AMZN MKTPLC WA,Income,Debit,50,0.93,-46.5,39
2/24/2025,LANDLORD_RENT_PAYMNT,Income,Debit,100,1.1,-110.0,40
